award,describe,evaluate,instruce,movie_name,serial_number,start
"第70届金球奖电影类最佳外语片(提名),第25届欧洲电影奖观众选择奖(提名)埃里克·托莱达诺奥利维埃·纳卡什,第36届日本电影学院奖最佳外语片",满满温情的高雅喜剧。,728909人评价,2011/法国/剧情喜剧,触不可及,25,9.2
"第30届奥斯卡金像奖最佳影片(提名)小阿瑟·霍恩布洛,第30届奥斯卡金像奖最佳导演(提名)比利·怀德,第15届金球奖电影类最佳剧情片(提名)",比利·怀德满分作品。,297513人评价,1957/美国/剧情犯罪悬疑,控方证人,26,9.6
"第81届奥斯卡金像奖最佳男配角希斯·莱杰,第66届金球奖电影类最佳男配角希斯·莱杰,第32届日本电影学院奖最佳外语片",无尽的黑暗。,752857人评价,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,27,9.2
"第47届戛纳电影节主竞赛单元金棕榈奖(提名)张艺谋,第47届戛纳电影节主竞赛单元评审团大奖张艺谋,第48届英国电影学院奖电影奖最佳非英语片邱复生张艺谋",张艺谋最好的电影。,585684人评价,1994/中国大陆中国香港/剧情历史家庭,活着,28,9.2
"第60届奥斯卡金像奖最佳影片杰瑞米·托马斯,第12届日本电影学院奖最佳外语片,第7届中国电影金鸡奖最佳道具(提名)",“不要跟我比惨，我比你更惨”再适合这部电影不过了。,536474人评价,1987/英国意大利中国大陆法国/剧情传记历史,末代皇帝,29,9.3
"第90届奥斯卡金像奖最佳动画长片达拉·K·安德森李·昂克里奇,第75届金球奖电影类最佳动画长片,第71届英国电影学院奖电影奖最佳动画片",死亡不是真的逝去，遗忘才是永恒的消亡。,1112561人评价,2017/美国/喜剧动画奇幻音乐,寻梦环游记,30,9.1
"第12届奥斯卡金像奖最佳影片,第12届奥斯卡金像奖最佳导演维克多·弗莱明,第12届奥斯卡金像奖最佳男主角(提名)克拉克·盖博",Tomorrow is another day.,502033人评价,1939/美国/剧情历史爱情战争,乱世佳人,31,9.3
"第6届豆瓣电影年度榜单2010s电影(提名),第4届豆瓣电影年度榜单评分最高的外语电影,第4届豆瓣电影年度榜单最受关注的院线电影(提名)",你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,1146932人评价,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,32,9.0
"第91届奥斯卡金像奖最佳外语片(提名)娜丁·拉巴基,第71届戛纳电影节主竞赛单元金棕榈奖(提名)娜丁·拉巴基,第76届金球奖电影类最佳外语片(提名)",凝视卑弱生命，用电影改变命运。,685144人评价,2018/黎巴嫩法国美国/剧情,何以为家,33,9.1
"第76届奥斯卡金像奖最佳影片巴里·M·奥斯本弗兰·威尔士彼得·杰克逊,第61届金球奖电影类最佳剧情片,第57届英国电影学院奖电影奖最佳影片巴里·M·奥斯本彼得·杰克逊弗兰·威尔士",史诗的终章。,553869人评价,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,34,9.2
"第85届奥斯卡金像奖最佳影片(提名)吉尔·内特李安戴维·沃马克,第70届金球奖电影类最佳剧情片(提名),第57届意大利大卫奖最佳外语片(提名)李安",瑰丽壮观、无人能及的冒险之旅。,1046056人评价,2012/美国中国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,35,9.1
"第82届奥斯卡金像奖最佳影片(提名)乔纳斯·里维拉,第66届威尼斯电影节未来电影数字奖-特别提及彼特·道格特,第67届金球奖电影类最佳动画长片",最后那些最无聊的事情，才是最值得怀念的。 ,979792人评价,2009/美国/剧情喜剧动画冒险,飞屋环游记,36,9.0
"第30届奥斯卡金像奖最佳影片(提名)雷金纳德·罗斯亨利·方达,第7届柏林国际电影节金熊奖最佳影片西德尼·吕美特,第15届金球奖电影类最佳剧情片(提名)",1957年的理想主义。 ,334163人评价,1957/美国/剧情,十二怒汉,37,9.4
